GeneID	Length	X1h_m1_t	X1h_m1_u	X1h_m2_t	X1h_m2_u	X1h_m3_t	X1h_m3_u	X6h_m1_t	X6h_m1_u	X6h_m2_t	X6h_m2_u	X6h_m3_t	X6h_m3_u
ENSMUSG00000103090	1083	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	14690	332	272	440	318	416	287	559	164	492	268	360	446
ENSMUSG00000090031	5428	42	39	61	51	59	38	75	16	35	42	50	29
ENSMUSG00000087247	971	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	639	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706	473	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	4530	155	133	100	62	169	121	287	164	231	196	208	230
ENSMUSG00000033740	6464	74	61	59	46	60	46	96	78	144	82	92	141
ENSMUSG00000103329	2915	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	663	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	626	1	0	1	0	3	0	1	3	0	0	2	0
ENSMUSG00000103282	30	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	641	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	6654	298	182	763	509	407	315	474	121	545	271	386	431
ENSMUSG00000098201	388	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	4028	76	53	159	106	121	91	123	40	97	39	98	135
ENSMUSG00000048538	1299	12	6	13	9	15	8	1	3	9	9	6	7
ENSMUSG00000103709	178	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	130	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	1012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	4339	4	2	2	7	1	4	24	2	4	0	6	6
ENSMUSG00000103498	1124	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	2596	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	2095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	881	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	1214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	10908	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	2532	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	400	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	3534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	1164	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	240	3	0	1	2	2	3	0	3	1	0	4	0
ENSMUSG00000103933	198	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076135	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086195	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	1050	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	3259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	960	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	636	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	1170	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	1406	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	2048	152	128	136	110	127	85	231	104	204	141	193	184
ENSMUSG00000025911	3780	58	37	90	47	62	44	150	35	130	66	98	78
ENSMUSG00000079671	4910	7	5	10	6	12	7	8	4	9	14	7	5
ENSMUSG00000081441	1102	309	323	414	347	394	339	445	203	424	268	346	309
ENSMUSG00000067879	3256	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099827	1067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	5402	5	3	5	5	8	7	17	9	13	6	12	11
ENSMUSG00000045210	9749	424	391	704	627	618	512	596	324	791	376	560	633
ENSMUSG00000097893	3101	3	3	1	0	1	1	0	0	0	1	0	0
ENSMUSG00000025915	14311	161	220	234	164	309	181	304	170	314	213	233	293
ENSMUSG00000046334	357	0	2	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000088916	105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101	5916	1	0	0	0	1	2	0	0	0	0	0	0
ENSMUSG00000098234	1146	15	38	29	25	33	21	33	11	22	16	41	19
ENSMUSG00000093178	87	0	4	1	0	1	0	0	2	0	4	1	1
ENSMUSG00000099032	4193	4	6	5	9	10	4	0	3	7	2	6	6
ENSMUSG00000104025	1374	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	1523	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087199	656	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	3766	197	209	287	226	225	220	365	141	283	192	233	246
ENSMUSG00000056763	17553	183	138	283	213	283	179	367	127	322	178	190	261
ENSMUSG00000102356	920	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	11318	1781	996	1752	1145	1678	1316	2898	893	1980	1111	1440	1655
ENSMUSG00000088153	240	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556	1722	18	15	20	12	27	29	49	10	25	16	15	19
ENSMUSG00000042501	6840	1	1	0	0	2	0	0	0	5	0	3	0
ENSMUSG00000103810	2745	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	1456	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	492	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	1922	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	1242	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	759	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088585	91	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	16609	1	0	0	1	0	3	0	0	0	0	4	1
ENSMUSG00000077318	128	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	3039	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	9183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103825	2471	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	262	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	2144	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	873	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	807	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000098163	687	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	3200	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	853	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	11294	4	1	10	27	5	12	0	2	9	3	7	20
ENSMUSG00000025938	13137	3	0	3	2	5	0	6	1	3	1	4	1
ENSMUSG00000104518	551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	288	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	2564	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005886	15642	319	206	364	248	391	259	331	174	381	230	289	331
ENSMUSG00000103506	2253	11	5	12	2	7	8	7	1	11	16	5	7
ENSMUSG00000103495	1626	6	3	8	6	11	7	28	7	13	2	4	7
ENSMUSG00000099183	82	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	695	0	2	1	1	0	1	17	0	10	3	0	1
ENSMUSG00000104170	1872	2	6	6	3	4	9	0	4	23	1	7	8
ENSMUSG00000087782	112	0	3	1	2	0	1	9	1	14	1	2	1
ENSMUSG00000103085	4642	32	17	36	23	44	23	95	10	73	28	22	31
ENSMUSG00000102664	2248	20	5	26	18	20	27	43	10	32	24	22	33
ENSMUSG00000101476	681	1	0	2	0	0	0	0	0	3	1	0	0
ENSMUSG00000101171	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935	3162	673	606	854	616	793	629	1153	463	1002	624	831	796
ENSMUSG00000025937	4566	164	123	165	123	170	140	275	67	196	133	183	176
ENSMUSG00000102982	1266	7	4	12	10	6	4	17	6	37	12	8	6
ENSMUSG00000067813	1926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077368	131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	997	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102166	2249	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358	308	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	3605	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	7808	5	6	8	5	10	6	10	1	9	5	8	13
ENSMUSG00000095853	100	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000102588	439	0	0	0	0	0	0	0	0	5	0	0	2
ENSMUSG00000054493	3566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025930	2546	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000103492	4321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081201	288	56	41	60	31	45	43	51	32	58	24	46	46
ENSMUSG00000082193	894	61	48	54	45	93	48	47	21	38	28	60	53
ENSMUSG00000032769	4263	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000088159	120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	996	70	106	176	147	149	116	156	59	146	91	132	115
ENSMUSG00000092083	15165	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102937	1533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	2089	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	251	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	4608	44	51	63	52	77	56	62	17	83	54	59	65
ENSMUSG00000104379	3169	2	2	5	3	3	2	0	0	14	3	3	9
ENSMUSG00000032719	2748	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088943	303	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	2063	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000043716	2687	895	759	1199	967	1027	841	1541	574	1079	686	1124	1008
ENSMUSG00000025921	4160	32	19	17	13	19	12	81	10	23	30	16	42
ENSMUSG00000104165	2321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	1515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025920	6747	69	66	66	65	82	72	116	41	127	73	108	108
ENSMUSG00000089982	1003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025939	4930	126	128	183	138	180	126	293	108	141	115	141	165
ENSMUSG00000102457	2980	0	0	0	0	0	0	0	2	0	0	0	3
ENSMUSG00000079658	3026	198	208	248	197	221	178	310	160	251	168	258	200
ENSMUSG00000097744	2788	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000100959	683	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940	1820	51	42	84	51	53	51	156	29	103	52	74	91
ENSMUSG00000025779	1021	58	58	73	48	64	49	124	42	74	48	50	59
ENSMUSG00000100093	419	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	1860	1	2	6	1	0	4	3	3	1	0	2	2
ENSMUSG00000101640	176	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000104133	827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	4998	1	1	0	0	1	0	0	0	0	1	1	1
ENSMUSG00000100110	359	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	7731	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099899	1011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272	379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	2870	5	9	10	8	8	4	0	5	5	0	3	5
ENSMUSG00000102048	486	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	6923	1	0	0	1	0	0	0	0	4	0	0	2
ENSMUSG00000100053	4218	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085125	8345	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025776	4515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099895	629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554	1399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	586	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	2557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109887	2570	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102001	199	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	142	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	2737	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	219	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	258	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	610	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	985	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	72	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	918	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	1954	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	545	31	23	36	35	31	20	21	14	39	20	41	34
ENSMUSG00000025927	6338	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100538	202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	2246	0	0	0	0	1	1	1	0	0	1	2	0
ENSMUSG00000084668	65	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	2499	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	14310	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000104095	3479	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070175	102	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	5551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	73	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	1171	0	0	3	10	0	0	14	2	11	0	3	1
ENSMUSG00000041872	2022	0	0	3	2	3	0	30	2	2	0	2	4
ENSMUSG00000041859	3752	80	69	94	69	78	56	174	53	117	77	82	79
ENSMUSG00000099714	1186	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	833	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	1120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025931	5488	11	8	20	11	9	6	13	4	1	5	6	9
ENSMUSG00000077314	131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	858	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000041809	2208	0	0	1	2	2	3	6	2	4	2	0	2
ENSMUSG00000041779	6661	119	79	181	108	156	145	268	84	186	140	133	174
ENSMUSG00000099971	546	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100819	571	0	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000025933	1351	0	3	4	2	5	2	0	3	1	4	2	5
ENSMUSG00000102633	2100	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025934	4344	1	1	3	0	3	0	0	3	0	1	2	2
ENSMUSG00000099343	633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096375	366	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000025936	1365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093963	439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	1987	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	371	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	1946	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507	350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	2236	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085679	196	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	7689	0	0	2	0	0	0	15	0	0	0	0	1
ENSMUSG00000104138	2327	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	1124	22	18	24	14	20	17	61	24	28	16	28	18
ENSMUSG00000103748	1567	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000099692	552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	447	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	7821	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000097642	802	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	921	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101227	2078	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730	1781	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	723	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	71	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970	399	0	0	1	0	0	0	0	0	0	2	0	0
ENSMUSG00000065567	84	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	347	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101226	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	8109	93	43	125	48	73	64	148	44	73	42	61	77
ENSMUSG00000097920	989	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099503	778	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	6203	0	0	0	1	1	0	0	0	2	0	1	0
ENSMUSG00000026155	3575	327	223	357	292	344	277	627	157	436	256	312	350
ENSMUSG00000026154	874	20	20	20	31	41	34	48	23	30	25	44	42
ENSMUSG00000102495	390	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026153	7773	92	69	101	80	100	67	151	36	131	74	82	81
ENSMUSG00000102398	2800	0	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000097670	867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	5068	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026141	6887	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000077463	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	1337	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100131	876	2311	1509	1897	1113	2500	1456	3276	1540	1848	1378	1547	1698
ENSMUSG00000067736	294	671	453	581	319	737	453	848	491	454	366	414	514
ENSMUSG00000101939	345	339	281	309	185	337	295	797	263	358	253	381	284
ENSMUSG00000101111	783	4508	3723	5147	3473	4663	3764	9176	3363	5054	3414	4652	4129
ENSMUSG00000100862	678	4299	3255	4637	3200	4630	3396	8901	3152	4653	3187	4173	3941
ENSMUSG00000102070	681	4555	4152	5425	4051	5217	3925	7740	3031	4242	2791	4209	3375
ENSMUSG00000101249	492	5555	3978	5759	4013	5751	3991	6924	3792	5037	3632	4339	5018
ENSMUSG00000073725	5960	482	457	660	544	614	460	798	318	687	410	551	606
ENSMUSG00000100808	661	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	1216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	816	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	448	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033569	18559	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000080849	444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104257	1551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096866	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102296	1031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103209	3375	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104027	3433	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102407	2533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103214	3105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104100	3257	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084740	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103889	2935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101301	570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104221	2943	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102250	3995	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102317	5440	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000103563	2741	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102465	3581	0	0	0	0	0	0	0	0	0	0	0	0
