GeneID	Length	X1h_m1_t.sort.bam	X1h_m1_u.sort.bam	X1h_m2_t.sort.bam	X1h_m2_u.sort.bam	X1h_m3_t.sort.bam	X1h_m3_u.sort.bam	X6h_m1_t.sort.bam	X6h_m1_u.sort.bam	X6h_m2_t.sort.bam	X6h_m2_u.sort.bam	X6h_m3_t.sort.bam	X6h_m3_u.sort.bam
ENSMUSG00000033774	3692	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090	1083	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	14690	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090031	5428	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087247	971	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	639	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706	473	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	4530	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033740	6464	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103329	2915	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	663	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103282	30	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	641	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	6654	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098201	388	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	4028	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048538	1299	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103709	178	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	130	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	1012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	4339	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498	1124	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	2596	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	2095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	881	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	1214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	10908	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	2532	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	400	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	3534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	1164	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	240	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	198	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076135	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086195	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	1050	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	3259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	960	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	636	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	1170	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	1406	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	2048	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025911	3780	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079671	4910	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081441	1102	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067879	3256	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099827	1067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	5402	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045210	9749	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097893	3101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915	14311	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046334	357	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088916	105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101	5916	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098234	1146	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093178	87	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	4193	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104025	1374	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	1523	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087199	656	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	3766	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056763	17553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102356	920	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	11318	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088153	240	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556	1722	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042501	6840	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103810	2745	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	1456	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	492	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	1922	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	1242	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	759	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088585	91	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	16609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077318	128	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	3039	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	9183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103825	2471	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	262	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	2144	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	873	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	807	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098163	687	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	3200	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	853	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	11294	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025938	13137	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104518	551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	288	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	2564	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005886	15642	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103506	2253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103495	1626	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099183	82	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	695	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104170	1872	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087782	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	4642	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102664	2248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101476	681	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101171	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935	3162	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025937	4566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102982	1266	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067813	1926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077368	131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	997	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102166	2249	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358	308	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	3605	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	7808	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095853	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588	439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493	3566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025930	2546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103492	4321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081201	288	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082193	894	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032769	4263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088159	120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	996	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092083	15165	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102937	1533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	2089	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	251	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	4608	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104379	3169	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032719	2748	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088943	303	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	2063	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043716	2687	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025921	4160	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104165	2321	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	1515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025920	6747	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089982	1003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025939	4930	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102457	2980	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079658	3026	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097744	2788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100959	683	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940	1820	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025779	1021	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100093	419	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	1860	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101640	176	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104133	827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	4998	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100110	359	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	7731	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099899	1011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272	379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	2870	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102048	486	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	6923	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100053	4218	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085125	8345	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025776	4515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099895	629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554	1399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	586	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	2557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109887	2570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102001	199	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	142	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	2737	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	219	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	258	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	610	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	985	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	72	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	918	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	1954	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	545	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025927	6338	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100538	202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	472	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	2246	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084668	65	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	2499	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	14310	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104095	3479	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070175	102	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	5551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	73	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	1171	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872	2022	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041859	3752	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099714	1186	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	833	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	1120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025931	5488	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077314	131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	858	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041809	2208	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041779	6661	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099971	546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819	571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025933	1351	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102633	2100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025934	4344	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099343	633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096375	366	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025936	1365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093963	439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	1987	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	371	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	1946	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507	350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	2236	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085679	196	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	7689	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104138	2327	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	1124	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103748	1567	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099692	552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	447	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	7821	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097642	802	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	921	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101227	2078	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730	1781	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553	121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	723	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	71	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970	399	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065567	84	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	347	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101226	644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	8109	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097920	989	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099503	778	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	6203	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026155	3575	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026154	874	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102495	390	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026153	7773	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102398	2800	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097670	867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	5068	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026141	6887	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077463	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	1337	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100131	876	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067736	294	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101939	345	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101111	783	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100862	678	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102070	681	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101249	492	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073725	5960	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100808	661	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	1216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	816	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	448	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033569	18559	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080849	444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104257	1551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096866	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102296	1031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103209	3375	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104027	3433	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102407	2533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103214	3105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104100	3257	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084740	104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103889	2935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101301	570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104221	2943	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102250	3995	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102317	5440	0	0	0	0	0	0	0	0	0	0	0	0
